"age_group","date","J12_18","ach_noj","a10_b99_nopneumo","K00_99","E00_99","N00_99","S00_T99","I00_99","E10_14","I60_64","pandemic","G00_99_SY","N39","C00_D48","A41","Z00_99","L00_99","D50_89","M00_99","E40_46","H00_99_SY","K80","Q00_99","cj20_J22","P00_99","K35"
"08_1_11",2004-01-01,25,-1.73990309465327,-1.15088268338232,-1.71399549444442,-1.2275543499215,-1.15170843262484,-0.688489198982475,-2.00614609338842,-1.08711779849684,-0.775274604277072,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-02-01,14,-1.73990309465327,-1.15088268338232,-1.71399549444442,-1.2275543499215,-1.15170843262484,-0.688489198982475,-2.00614609338842,-1.08711779849684,-0.775274604277072,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-03-01,32,-1.73990309465327,-1.15088268338232,-1.71399549444442,-1.2275543499215,-1.15170843262484,-0.688489198982475,-2.00614609338842,-1.08711779849684,-0.775274604277072,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-04-01,21,-1.73990309465327,-1.15088268338232,-1.71399549444442,-1.2275543499215,-1.15170843262484,-0.688489198982475,-2.00614609338842,-1.08711779849684,-0.775274604277072,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-05-01,27,-1.73990309465327,-1.15088268338232,-1.71399549444442,-1.2275543499215,-1.15170843262484,-0.688489198982475,-2.00614609338842,-1.08711779849684,-0.775274604277072,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-06-01,21,-1.73990309465327,-1.15088268338232,-1.71399549444442,-1.2275543499215,-1.15170843262484,-0.688489198982475,-2.00614609338842,-1.08711779849684,-0.775274604277072,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-07-01,22,-1.19918516132431,-1.51054043084778,-0.310722665258581,-0.500532586889949,-0.633175389712935,-0.87563217923069,-1.14247859307112,-0.361059012084266,-1.06410562695466,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-08-01,30,-1.19918516132431,-1.51054043084778,-0.310722665258581,-0.500532586889949,-0.633175389712935,-0.87563217923069,-1.14247859307112,-0.361059012084266,-1.06410562695466,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-09-01,26,-1.19918516132431,-1.51054043084778,-0.310722665258581,-0.500532586889949,-0.633175389712935,-0.87563217923069,-1.14247859307112,-0.361059012084266,-1.06410562695466,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-10-01,21,-1.19918516132431,-1.51054043084778,-0.310722665258581,-0.500532586889949,-0.633175389712935,-0.87563217923069,-1.14247859307112,-0.361059012084266,-1.06410562695466,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
