"age_group","date","J12_18","ach_noj","a10_b99_nopneumo","K00_99","E00_99","N00_99","S00_T99","I00_99","E10_14","I60_64","pandemic","G00_99_SY","N39","C00_D48","A41","Z00_99","L00_99","D50_89","M00_99","E40_46","H00_99_SY","K80","Q00_99","cj20_J22","P00_99","K35"
"08_1_11",2004-01-01,25,-1.46954412798879,-1.33071155711505,-1.0123590798515,-0.864043468405723,-0.892441911168886,-0.782060689106583,-1.57431234322977,-0.724088405290551,-0.919690115615866,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-02-01,14,-1.46954412798879,-1.33071155711505,-1.0123590798515,-0.864043468405723,-0.892441911168886,-0.782060689106583,-1.57431234322977,-0.724088405290551,-0.919690115615866,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-03-01,32,-1.46954412798879,-1.33071155711505,-1.0123590798515,-0.864043468405723,-0.892441911168886,-0.782060689106583,-1.57431234322977,-0.724088405290551,-0.919690115615866,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-04-01,21,-1.46954412798879,-1.33071155711505,-1.0123590798515,-0.864043468405723,-0.892441911168886,-0.782060689106583,-1.57431234322977,-0.724088405290551,-0.919690115615866,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-05-01,27,-1.46954412798879,-1.33071155711505,-1.0123590798515,-0.864043468405723,-0.892441911168886,-0.782060689106583,-1.57431234322977,-0.724088405290551,-0.919690115615866,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-06-01,21,-1.46954412798879,-1.33071155711505,-1.0123590798515,-0.864043468405723,-0.892441911168886,-0.782060689106583,-1.57431234322977,-0.724088405290551,-0.919690115615866,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-07-01,22,-1.46954412798879,-1.33071155711505,-1.0123590798515,-0.864043468405723,-0.892441911168886,-0.782060689106583,-1.57431234322977,-0.724088405290551,-0.919690115615866,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-08-01,30,-1.46954412798879,-1.33071155711505,-1.0123590798515,-0.864043468405723,-0.892441911168886,-0.782060689106583,-1.57431234322977,-0.724088405290551,-0.919690115615866,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-09-01,26,-1.46954412798879,-1.33071155711505,-1.0123590798515,-0.864043468405723,-0.892441911168886,-0.782060689106583,-1.57431234322977,-0.724088405290551,-0.919690115615866,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"08_1_11",2004-10-01,21,-1.46954412798879,-1.33071155711505,-1.0123590798515,-0.864043468405723,-0.892441911168886,-0.782060689106583,-1.57431234322977,-0.724088405290551,-0.919690115615866,-0.123564012835717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
